footprint_x,footprint_y,footprint_yaw,bar_height,distance_com_to_polygon,angle_deviation,pos_deviation,axis_label,axis_0,axis_1,axis_2,height_high,height_low,height_mid,yaw_N,yaw_NE,yaw_NW,yaw_S,yaw_SE,yaw_W
-0.22994300723075867,0.06539345532655716,-1.5388143843316011,0.7486594095826149,0.14575147961156945,0.005623653164971183,0.01195403976087983,2,False,False,True,False,True,False,False,False,False,False,False,True
-0.2298402637243271,0.06521899998188019,-1.538574141969518,0.9131558276712894,0.16356237709611096,0.013265929644586937,0.011668845922207328,2,False,False,True,False,False,True,False,False,False,False,False,True
-0.23043832182884216,0.06546436250209808,-1.5357772488468544,1.1559163555502892,0.12472858245517209,0.0029590385768181533,0.016166186390495857,2,False,False,True,True,False,False,False,False,False,False,False,True
-0.2303936779499054,0.06556176394224167,-1.5357119461209077,0.7866620793938637,0.15834811975464083,0.005601239666500375,0.010727376256627348,0,True,False,False,False,True,False,False,False,False,False,False,True
-0.48491761088371277,-0.06235816702246666,-0.526034314495442,1.330049380660057,0.16969376569062347,0.00943225768617953,0.012333108493290518,0,True,False,False,True,False,False,False,False,True,False,False,False
-0.48480159044265747,-0.06256560981273651,-0.5265284441411969,0.9499562680721283,0.14601721134344509,0.005484838614698193,0.012512980729365337,2,False,False,True,False,False,True,False,False,True,False,False,False
-0.48508548736572266,-0.06234908103942871,-0.5265484964146278,0.9311895817518234,0.14997255012535313,0.0060491240430127794,0.015133895991715132,0,True,False,False,False,False,True,False,False,True,False,False,False
-0.4849851429462433,-0.06241929903626442,-0.5269302088844404,1.3988195657730103,0.14005612442081766,0.00675807108994936,0.012050499106972132,0,True,False,False,True,False,False,False,False,True,False,False,False
-0.48551619052886963,-0.062080368399620056,-0.527198031699669,0.8494845665991306,0.18426864832283846,0.0077604181185552965,0.010391347773248712,2,False,False,True,False,False,True,False,False,True,False,False,False
-0.4865981936454773,-0.06279170513153076,-0.523099952349035,1.024339184165001,0.1461190194698329,0.005678716020199505,0.014343674311788231,0,True,False,False,False,False,True,False,False,True,False,False,False
0.03275015205144882,-0.059404436498880386,0.6057361275967826,0.5557456091046333,0.1687705024878767,0.006054949197996624,0.01314707868908279,0,True,False,False,False,True,False,True,False,False,False,False,False
0.032828133553266525,-0.05937797576189041,0.6056632467011528,1.1225997805595398,0.15395013508740735,0.0059569724185287234,0.012056550265141908,0,True,False,False,True,False,False,True,False,False,False,False,False
0.033074185252189636,-0.05917706713080406,0.6060040840982494,0.29721303656697273,0.18308905635535033,0.007531730670704028,0.012593703727298025,1,False,True,False,False,True,False,True,False,False,False,False,False
0.033149488270282745,-0.059143293648958206,0.6060056672967301,0.5436998559162021,0.17271695835736217,0.005323537562907078,0.013726184014646469,2,False,False,True,False,True,False,True,False,False,False,False,False
0.0335250124335289,-0.05891943722963333,0.6055372757605082,1.0389823913574219,0.1806401561545141,0.004990294316846813,0.014893590106175587,1,False,True,False,True,False,False,True,False,False,False,False,False
0.03396116942167282,-0.05872393026947975,0.6055373461844847,1.020849846303463,0.11694810244883652,0.004920282955948854,0.010517454022758369,0,True,False,False,False,False,True,True,False,False,False,False,False
0.03377646207809448,-0.05878971144556999,0.6054637501794341,0.49009086936712265,0.1735585904881095,0.0026706617568883376,0.011363323427132243,1,False,True,False,False,True,False,True,False,False,False,False,False
0.30604058504104614,-0.07605083286762238,1.5704720181868983,1.356248863041401,0.11483414103280483,0.0006118529669970749,0.011422836005221227,2,False,False,True,True,False,False,False,True,False,False,False,False
0.3059658408164978,-0.07425444573163986,1.570115034005452,0.8804726824164391,0.1803618431053759,0.009065286060551498,0.010990431956162073,1,False,True,False,False,False,True,False,True,False,False,False,False
0.3060647249221802,-0.07255477458238602,1.5697458390691796,1.230275496840477,0.145868287256254,0.0009482986577554969,0.013796089896875158,2,False,False,True,True,False,False,False,True,False,False,False,False
0.30580228567123413,-0.0721861943602562,1.5683066788502962,0.5452381893992424,0.15877425322754543,0.008154078026338923,0.013661779155603432,0,True,False,False,False,True,False,False,True,False,False,False,False
0.30566394329071045,-0.07178578525781631,1.5685203220686086,0.8751838058233261,0.16682798427752243,0.004312018830702852,0.013567136777979771,2,False,False,True,False,False,True,False,True,False,False,False,False
0.3055703043937683,-0.07176575809717178,1.5685393775310053,0.7690083310008049,0.1775618045334679,0.004642617207074738,0.012672318375079069,0,True,False,False,False,True,False,False,True,False,False,False,False
0.30570873618125916,-0.07177230715751648,1.5684320482681327,1.2433002591133118,0.1745733304799151,0.006539824879153878,0.015085027843256958,0,True,False,False,True,False,False,False,True,False,False,False,False
